Data,Value,Open,Max,Min,Vol.[M],Var. %,Day,Month,Year
1/4/2011,54.98,52.25,55.16,51.92,178.12,5.63,1,4,2011
1/3/2011,52.05,52.16,53.88,50.97,279.37,0.13,1,3,2011
1/2/2011,51.98,56.37,56.73,51.52,276.91,-7.29,1,2,2011
1/1/2011,56.07,54.23,57.9,53.54,260.69,3.97,1,1,2011
1/12/2010,53.93,54.42,55.34,53.14,246.21,-0.3,1,12,2010
1/11/2010,54.09,54.05,55.72,53.43,241.85,-0.15,1,11,2010
1/10/2010,54.17,53.6,54.82,52.93,208.47,1.21,1,10,2010
1/9/2010,53.52,50.49,54.39,50.46,216.07,6.74,1,9,2010
1/8/2010,50.14,51.55,52.48,50,272.61,-2.05,1,8,2010
1/7/2010,51.19,48.1,51.81,47.77,280.36,6.49,1,7,2010
1/6/2010,48.07,50.8,52.08,48.01,390.58,-4.92,1,6,2010
1/5/2010,50.56,53.88,54.95,50,398.16,-5.74,1,5,2010
1/4/2010,53.64,55.75,55.9,53.52,282.97,-3.53,1,4,2010
1/3/2010,55.6,54.04,56.27,53.15,270.78,2.83,1,3,2010
1/2/2010,54.07,53.62,54.5,52.66,278.52,1.2,1,2,2010
1/1/2010,53.43,53.74,55.2,52.51,291.6,-0.04,1,1,2010
1/12/2009,53.45,54.85,55.08,52.31,264.69,-2.02,1,12,2009
1/11/2009,54.55,49.81,55.09,49.52,306.05,9.8,1,11,2009
1/10/2009,49.68,49.07,52,48.73,374.03,1.2,1,10,2009
1/9/2009,49.09,50.81,52.1,48.73,375.71,-3.5,1,9,2009
1/8/2009,50.87,50.22,52.56,48.75,344.29,1.98,1,8,2009
1/7/2009,49.88,48.55,50.43,47.35,369.11,2.97,1,7,2009
1/6/2009,48.44,50.18,51.75,48.02,417.73,-2.61,1,6,2009
1/5/2009,49.74,50.5,51.38,48.12,377.08,-1.31,1,5,2009
1/4/2009,50.4,51.38,54.57,47.64,450.56,-3.26,1,4,2009
1/3/2009,52.1,48.81,53,47,545.32,5.81,1,3,2009
1/2/2009,49.24,46.57,50.67,46.25,509.07,4.5,1,2,2009
1/1/2009,47.12,55.98,57.51,46.92,518.91,-15.95,1,1,2009
1/12/2008,56.06,55.37,59.23,52.22,470.48,0.32,1,12,2008
1/11/2008,55.88,56.76,57.25,50.2,515.14,0.13,1,11,2008
1/10/2008,55.81,59.51,60.3,47,748.8,-6.81,1,10,2008
1/9/2008,59.89,59.9,63.85,57.74,560.38,1.39,1,9,2008
1/8/2008,59.07,58.75,61,56.81,395.87,0.77,1,8,2008
1/7/2008,58.62,56,59.56,55.34,495.6,4.31,1,7,2008
1/6/2008,56.2,57.41,59.95,55.85,443.36,-2.67,1,6,2008
1/5/2008,57.74,58.2,59.09,55.05,393.06,-0.41,1,5,2008
1/4/2008,57.98,53.19,59.04,52.81,439.25,10.06,1,4,2008
1/3/2008,52.68,49.43,54.15,48.64,490.55,6.23,1,3,2008
1/2/2008,49.59,50.9,51.57,47.84,476.64,-2.27,1,2,2008
1/1/2008,50.74,47.41,51.3,43.11,594.62,6.75,1,1,2008
1/12/2007,47.53,47.71,50.05,46.87,304.82,-0.77,1,12,2007
1/11/2007,47.9,44.7,48.23,42.5,432.36,5.95,1,11,2007
1/10/2007,45.21,43.83,47.7,43.27,437.04,3.57,1,10,2007
1/9/2007,43.65,43.51,45.05,42.09,376.19,0.05,1,9,2007
1/8/2007,43.63,46.05,48.42,42.92,561.44,-5.05,1,8,2007
1/7/2007,45.95,48.2,49.26,45.73,345.49,-4.49,1,7,2007
1/6/2007,48.11,47.9,51.44,47.69,446.28,1.07,1,6,2007
1/5/2007,47.6,47.92,48.88,46.32,314.16,-0.67,1,5,2007
1/4/2007,47.92,47.06,49.95,46.83,257.74,2.07,1,4,2007
1/3/2007,46.95,47.78,48.32,45.06,347.9,-2.82,1,3,2007
1/2/2007,48.31,47.51,50.42,47.44,278.14,1.3,1,2,2007
1/1/2007,47.69,47.09,48.78,46.51,292.03,3.27,1,1,2007
1/12/2006,46.18,46,46.89,44.8,278.18,0.17,1,12,2006
1/11/2006,46.1,49.38,49.7,45.97,372.01,-6.45,1,11,2006
1/10/2006,49.28,48.62,52.15,47.64,365.28,-0.08,1,10,2006
1/9/2006,49.32,45,49.95,44.02,265.63,10.29,1,9,2006
1/8/2006,44.72,44.35,45.45,43.48,237.1,0.49,1,8,2006
1/7/2006,44.5,47.75,48.05,42.31,269.88,-7.62,1,7,2006
1/6/2006,48.17,48.25,49.19,46.55,247.94,-0.58,1,6,2006
1/5/2006,48.45,45.92,50,45.54,301.69,7.59,1,5,2006
1/4/2006,45.03,47.27,47.31,44.99,195.6,-4.68,1,4,2006
1/3/2006,47.24,45.36,48.87,44.86,268.03,4.14,1,3,2006
1/2/2006,45.36,46.05,47.02,44.52,236.34,-1.63,1,2,2006
1/1/2006,46.11,46.36,46.95,44.54,322.77,-1.47,1,1,2006
1/12/2005,46.8,48.59,49.74,46.75,258.7,-3.62,1,12,2005
1/11/2005,48.56,47.12,50.87,46.61,267.93,2.64,1,11,2005
1/10/2005,47.31,44.15,47.55,43.3,309.48,7.96,1,10,2005
1/9/2005,43.82,44.95,46.48,42.31,445.86,-2.54,1,9,2005
1/8/2005,44.96,49.62,49.87,44.7,280.32,-8.9,1,8,2005
1/7/2005,49.35,48.25,50.69,48.15,183.91,2.39,1,7,2005
1/6/2005,48.2,47.25,50.3,47.21,237.71,2.05,1,6,2005
1/5/2005,47.23,47.48,49.46,46.6,256.23,0.19,1,5,2005
1/4/2005,47.14,50.5,50.5,46.2,338.54,-5.93,1,4,2005
1/3/2005,50.11,52.01,53.49,50.06,374.65,-2.91,1,3,2005
1/2/2005,51.61,52.4,53.74,51.1,181.69,-1.51,1,2,2005
1/1/2005,52.4,53.75,54.6,52.22,183.67,-0.8,1,1,2005
1/12/2004,52.82,52.5,53.65,51.24,230.69,1.46,1,12,2004
1/11/2004,52.06,53.92,57.89,52.06,237.13,-3.45,1,11,2004
1/10/2004,53.92,53.5,54.38,51.91,185.91,1.35,1,10,2004
1/9/2004,53.2,52.46,53.96,51.1,207.21,1.01,1,9,2004
1/8/2004,52.67,53.02,54.97,51.08,186.22,-0.64,1,8,2004
1/7/2004,53.01,53.1,54.19,51.5,210.01,0.47,1,7,2004
1/6/2004,52.76,55.45,57.83,51.93,215.06,-5.33,1,6,2004
1/5/2004,55.73,57,57.52,53.45,205.32,-2.23,1,5,2004
1/4/2004,57,58.75,60.14,56.15,193.37,-4.51,1,4,2004
1/3/2004,59.69,59.67,61.31,57.27,222.62,0.22,1,3,2004
1/2/2004,59.56,54.2,60.15,54.15,225.44,10.6,1,2,2004
1/1/2004,53.85,53.35,54.95,51.58,201.74,1.51,1,1,2004
1/12/2003,53.05,55.64,55.66,50.5,280.42,-4.65,1,12,2003
1/11/2003,55.64,58.77,59.93,54.36,172.47,-5.61,1,11,2003
1/10/2003,58.95,56.02,59.64,56.01,152.19,5.55,1,10,2003
1/9/2003,55.85,58.96,60.2,55.8,175.23,-5.61,1,9,2003
1/8/2003,59.17,55.72,59.48,54.78,136.63,5.83,1,8,2003
1/7/2003,55.91,53.5,57.7,53,158.18,4.17,1,7,2003
1/6/2003,53.67,52.96,55.59,52.12,168.33,2.01,1,6,2003
1/5/2003,52.61,56.32,56.95,51.63,190.84,-6.59,1,5,2003
1/4/2003,56.32,52.1,57.51,51.52,166.77,8.25,1,4,2003
1/3/2003,52.03,48.6,54.86,46.5,177.85,8.26,1,3,2003
1/2/2003,48.06,47.77,49.79,46.25,147.05,0.54,1,2,2003
1/1/2003,47.8,50.65,52.18,46.92,177.21,-5.37,1,1,2003
1/12/2002,50.51,55.96,56.74,48.95,172.82,-6.29,1,12,2002
1/11/2002,53.9,53.59,56.2,52.57,172.69,0.65,1,11,2002
1/10/2002,53.55,49.24,58.02,48.55,281.49,8.75,1,10,2002
1/9/2002,49.24,52.85,57,48.1,189.31,-7.93,1,9,2002
1/8/2002,53.48,49,54.79,45.19,216.25,8.74,1,8,2002
1/7/2002,49.18,55.3,56.7,43.72,257,-10.6,1,7,2002
1/6/2002,55.01,54.18,58.88,52,198.89,1.68,1,6,2002
1/5/2002,54.1,55.6,59.3,53.61,174.18,-3.15,1,5,2002
1/4/2002,55.86,60.35,61.85,55.46,173.92,-8.87,1,4,2002
1/3/2002,61.3,62.2,63.94,60.3,151.71,-1.14,1,3,2002
1/2/2002,62.01,59.7,62.88,58.1,151.75,3.38,1,2,2002
1/1/2002,59.98,57.65,59.98,54.4,150.82,4.22,1,1,2002
1/12/2001,57.55,55.06,58.74,53.03,135.65,4.35,1,12,2001
1/11/2001,55.15,51.2,56.24,50.86,158.07,7.3,1,11,2001
1/10/2001,51.4,49.5,54.75,48.14,187.97,3.84,1,10,2001
